,0
Annual return,3.8713727034391754
Cumulative returns,0.39516344038037365
Annual volatility,1.0437322060017318
Sharpe ratio,2.066623787990973
Calmar ratio,9.499906193185273
Stability,0.0066141894218420365
Max drawdown,-0.4075169401373976
Omega ratio,1.4551820292411446
Sortino ratio,2.839805223136464
Skew,-1.3026032461431094
Kurtosis,4.160245443092826
Tail ratio,1.2660307157313009
Daily value at risk,-0.12293836676165698
